mech_game_id,game_id,category
520,82222,Adventure
521,82222,Exploration
522,82222,Fighting
523,82222,Miniatures
524,82222,Science_Fiction
525,82222,Space_Exploration
526,82222,Transportation
527,181279,Adventure
528,181279,Deduction
529,181279,Fighting
530,181279,Horror
531,181279,Novel-based
532,92828,Card_Game
533,92828,Humor
534,92828,Party_Game
535,66589,Economic
536,66589,Exploration
537,66589,Nautical
538,66589,Renaissance
539,17392,Negotiation
540,17392,Political
541,17392,Religious
542,17392,Renaissance
543,17392,Wargame
544,421,Economic
545,421,Trains
546,421,Transportation
547,54138,Economic
548,54138,Fighting
549,54138,Nautical
550,54138,Political
551,41114,Bluffing
552,41114,Deduction
553,41114,Negotiation
554,41114,Party_Game
555,41114,Science_Fiction
556,41114,SpiesSecret_Agents
557,77130,City_Building
558,77130,Civilization
559,77130,Exploration
560,77130,Negotiation
561,77130,Video_Game_Theme
562,3,Abstract_Strategy
563,3,Medieval
564,119890,Animals
565,119890,Farming
566,760,Ancient
567,760,Card_Game
568,760,Deduction
569,156129,Bluffing
570,156129,Deduction
571,156129,MurderMystery
572,156129,Party_Game
573,156129,SpiesSecret_Agents
574,163745,Collectible_Components
575,163745,Fighting
576,163745,Miniatures
577,163745,Movies_TV_Radio_theme
578,163745,Science_Fiction
579,163745,Wargame
580,45315,Economic
581,45315,Fantasy
582,45315,Fighting
583,45315,Humor
584,1,Economic
585,1,Negotiation
586,1,Political
587,40692,Fantasy
588,40692,Fighting
589,40692,Territory_Building
590,59959,Bluffing
591,59959,Deduction
592,59959,MurderMystery
593,59959,Post-Napoleonic
594,195421,Adventure
595,195421,Exploration
596,163068,none
597,36932,Horror
598,36932,Adventure
599,36932,Fantasy
600,36932,Fighting
601,36932,Miniatures
602,176920,Science_Fiction
603,224037,Deduction
604,224037,Word_Game
605,182631,Card_Game
606,182631,Science_Fiction
607,15985,Collectible_Components
608,15985,Expansion_for_Base-game
609,15985,Fantasy
610,15985,Fighting
611,15985,Miniatures
612,15985,Sports
613,39856,Card_Game
614,39856,Humor
615,39856,Party_Game
616,160477,Abstract_Strategy
617,160477,Ancient
618,198773,Deduction
619,198773,Memory
620,198773,Party_Game
621,198773,SpiesSecret_Agents
622,37046,Fantasy
623,37046,Fighting
624,37046,Horror
625,37046,Mythology
626,123123,Card_Game
627,123123,Fighting
628,243,Wargame
629,243,World_War_II
630,161533,City_Building
631,161533,Economic
632,161533,Political
633,136888,Card_Game
634,136888,City_Building
635,136888,Dice
636,136888,Economic
637,136888,Renaissance
638,162886,Age_of_Reason
639,162886,Environmental
640,162886,Fantasy
641,162886,Fighting
642,162886,Mythology
643,162886,Renaissance
644,162886,Territory_Building
645,25292,Adventure
646,25292,Nautical
647,25292,Pirates
648,25292,Transportation
649,19777,Economic
650,19777,Industry_Manufacturing
651,19777,Transportation
652,124708,Adventure
653,124708,Exploration
654,124708,Fantasy
655,124708,Fighting
656,124708,Miniatures
657,33160,Exploration
658,33160,Nautical
659,33160,Renaissance
660,204583,City_Building
661,204583,Medieval
662,204583,Territory_Building
663,144344,Age_of_Reason
664,144344,Economic
665,40765,Ancient
666,40765,City_Building
667,40765,Civilization
668,40765,Economic
669,40765,Exploration
670,40765,Medieval
671,40765,Territory_Building
672,200680,Animals
673,200680,Economic
674,200680,Farming
675,63628,Aviation_Flight
676,63628,Economic
677,63628,Fighting
678,63628,Industry_Manufacturing
679,63628,Negotiation
680,63628,World_War_II
681,70919,Animals
682,70919,Environmental
683,70919,Farming
684,70919,Territory_Building
685,2655,Abstract_Strategy
686,2655,Animals
687,129622,Card_Game
688,129622,Deduction
689,129622,Renaissance
690,5,Economic
691,143693,City_Building
692,143693,Economic
693,143693,Medieval
694,121,Bluffing
695,121,Fighting
696,121,Negotiation
697,121,Novel-based
698,121,Political
699,121,Science_Fiction
700,21241,Fighting
701,21241,Science_Fiction
702,170042,Medieval
703,170042,Nautical
704,197376,City_Building
705,197376,Economic
706,197376,Medieval
707,188834,Bluffing
708,188834,Card_Game
709,188834,Deduction
710,188834,Humor
711,188834,Party_Game
712,188834,Political
713,188834,Print_&_Play
714,188834,World_War_II
715,25554,Economic
716,25554,Renaissance
717,172081,Exploration
718,172081,Maze
719,172081,SpiesSecret_Agents
720,203993,Renaissance
721,31594,Economic
722,31594,Medieval
723,176734,Civilization
724,176734,Dice
725,176734,Economic
726,176734,Environmental
727,176734,Industry_Manufacturing
728,198994,Card_Game
729,198994,Fantasy
730,198994,Fighting
731,54,Exploration
732,54,Territory_Building
733,54625,Fighting
734,54625,Miniatures
735,54625,Science_Fiction
736,54625,Wargame
737,109276,Economic
738,109276,Industry_Manufacturing
739,71,Ancient
740,71,Civilization
741,71,Economic
742,71,Negotiation
743,70323,Dice
744,70323,Fighting
745,70323,Movies_TV_Radio_theme
746,70323,Science_Fiction
747,139976,Fantasy
748,139976,Fighting
749,139976,Horror
750,139976,Miniatures
751,46213,Humor
752,46213,Party_Game
753,46213,Real-time
754,105134,Dice
755,105134,Science_Fiction
756,105134,Wargame
757,8217,Card_Game
758,8217,City_Building
759,8217,Economic
760,9217,Age_of_Reason
761,9217,Card_Game
762,9217,Economic
763,118,Card_Game
764,118,Economic
765,2653,Adventure
766,2653,Animals
767,2653,Bluffing
768,2653,Nautical
769,191189,Card_Game
770,191189,Fantasy
771,191189,Science_Fiction
772,21348,Trains
773,21348,Transportation
774,21348,Travel
775,24480,Economic
776,24480,Medieval
777,24480,Novel-based
778,24480,Religious
779,175640,Economic
780,175640,Industry_Manufacturing
781,199561,Dice
782,199561,Puzzle
783,15987,Adventure
784,15987,Fantasy
785,15987,Fighting
786,15987,Horror
787,15987,Novel-based
788,13122,City_Building
789,13122,Civilization
790,13122,Economic
791,13122,Environmental
792,13122,Medieval
793,157969,Bluffing
794,157969,Card_Game
795,157969,Humor
796,157969,Medieval
797,157969,Negotiation
798,157969,Novel-based
799,157969,Party_Game
800,163967,Dice
801,163967,Science_Fiction
802,163967,Space_Exploration
803,79828,Age_of_Reason
804,79828,American_Indian_Wars
805,79828,Card_Game
806,79828,Territory_Building
807,79828,Wargame
808,39683,Economic
809,39683,Farming
810,90137,Card_Game
811,90137,Fantasy
812,90137,Fighting
813,90137,Sports
814,209685,Card_Game
815,209685,Economic
816,209685,Medieval
817,55670,Dice
818,55670,Nautical
819,176396,City_Building
820,176396,Environmental
821,128996,Age_of_Reason
822,128996,American_Indian_Wars
823,128996,American_Revolutionary_War
824,128996,Educational
825,128996,Wargame
826,712,Fantasy
827,712,Fighting
828,712,Miniatures
829,712,Sports
830,712,Wargame
831,96913,Medieval
832,66188,Renaissance
833,40354,Age_of_Reason
834,40354,Negotiation
835,40354,Political
836,40354,Wargame
837,25417,Fantasy
838,25417,Medieval
839,25417,Miniatures
840,25417,Wargame
841,154809,Economic
842,154809,Industry_Manufacturing
843,183562,Aviation_Flight
844,183562,Collectible_Components
845,183562,Miniatures
846,183562,Movies_TV_Radio_theme
847,183562,Science_Fiction
848,183562,Wargame
849,144592,Economic
850,83330,Adventure
851,83330,Exploration
852,83330,Fantasy
853,83330,Fighting
854,83330,Horror
855,83330,Miniatures
856,83330,MurderMystery
857,83330,Puzzle
858,18833,Adventure
859,18833,Bluffing
860,18833,Deduction
861,18833,Fantasy
862,18833,Movies_TV_Radio_theme
863,18833,Novel-based
864,147949,Bluffing
865,147949,Card_Game
866,147949,Deduction
867,147949,Horror
868,147949,Party_Game
869,100901,Adventure
870,66362,City_Building
871,66362,Economic
872,66362,Farming
873,150658,Dice
874,150658,Environmental
875,150658,Medical
876,203420,Deduction
877,203420,Puzzle
878,203420,Real-time
879,182134,Animals
880,182134,Card_Game
881,182134,Educational
882,182134,Environmental
883,182134,Fighting
884,182134,Prehistoric
885,5404,Ancient
886,5404,Economic
887,65781,City_Building
888,65781,Economic
889,73171,Adventure
890,73171,Bluffing
891,73171,Fighting
892,73171,Miniatures
893,73171,Science_Fiction
894,73171,SpiesSecret_Agents
895,73171,Zombies
896,136063,Adventure
897,136063,Fantasy
898,136063,Science_Fiction
899,102652,Card_Game
900,102652,Comic_Book_Strip
901,102652,Fighting
902,172,Card_Game
903,172,Economic
904,192458,Card_Game
905,192458,City_Building
906,192458,Economic
907,192458,Science_Fiction
908,875,City_Building
909,875,Civilization
910,875,Economic
911,875,Industry_Manufacturing
912,875,Transportation
913,17226,Adventure
914,17226,Exploration
915,17226,Fantasy
916,17226,Fighting
917,17226,Miniatures
918,27162,City_Building
919,27162,Dice
920,27162,Fantasy
921,27162,Medieval
922,11170,Adventure
923,11170,Fantasy
924,11170,Fighting
925,11170,Miniatures
926,11170,Science_Fiction
927,137408,Nautical
928,137408,Renaissance
929,146791,Adventure
930,146791,American_West
931,146791,Exploration
932,146791,Fighting
933,146791,Horror
934,146791,Miniatures
935,98778,Card_Game
936,98778,Deduction
937,98778,Memory
938,58421,Ancient
939,58421,Farming
940,97786,Fantasy
941,97786,Fighting
942,97786,Territory_Building
943,13,Negotiation
944,133038,Adventure
945,133038,Card_Game
946,133038,Fantasy
947,133038,Fighting
948,105551,Civilization
949,105551,Economic
950,105551,Exploration
951,105551,Nautical
952,105551,Negotiation
953,105551,Renaissance
954,128671,Ancient
955,128671,Fighting
956,128671,Miniatures
957,128671,Movies_TV_Radio_theme
958,128671,Negotiation
959,138161,Movies_TV_Radio_theme
960,138161,Science_Fiction
961,138161,Space_Exploration
962,138161,Travel
963,63888,Card_Game
964,63888,Civilization
965,36553,Humor
966,36553,Movies_TV_Radio_theme
967,36553,Party_Game
968,151347,Card_Game
969,151347,Real-time
970,205359,Collectible_Components
971,205359,Dice
972,205359,Fighting
973,205359,Movies_TV_Radio_theme
974,205359,Science_Fiction
975,206718,Fantasy
976,171668,Card_Game
977,171668,World_War_I
978,166669,Card_Game
979,166669,City_Building
980,166669,Economic
981,34219,Card_Game
982,34219,Medieval
983,34219,Religious
984,62227,Modern_Warfare
985,62227,Political
986,62227,Wargame
987,42052,Economic
988,42052,Industry_Manufacturing
989,127398,Adventure
990,127398,Fantasy
991,127398,Fighting
992,127398,Puzzle
993,189932,Fantasy
994,62222,Napoleonic
995,62222,Wargame
996,90419,Aviation_Flight
997,90419,Economic
998,3685,Medieval
999,3685,Wargame
1000,161614,Economic
1001,125618,Card_Game
1002,125618,Pirates
1003,158899,American_West
1004,158899,Fighting
1005,158899,Trains
1006,169255,Card_Game
1007,169255,Collectible_Components
1008,169255,Fantasy
1009,169255,Fighting
1010,169255,Medieval
1011,169255,Negotiation
1012,169255,Novel-based
1013,50,Card_Game
1014,50,Exploration
1015,116998,Card_Game
1016,116998,Fantasy
1017,162082,Civilization
1018,162082,Mythology
1019,141572,Card_Game
1020,141572,Print_&_Play
1021,141572,Word_Game
1022,475,Bluffing
1023,475,Political
1024,43570,Card_Game
1025,43570,Fighting
1026,43570,Novel-based
1027,43570,Pirates
1028,188920,Adventure
1029,188920,Exploration
1030,188920,Mature_Adult
1031,188920,Video_Game_Theme
1032,95527,Dice
1033,95527,Economic
1034,95527,Farming
1035,95527,Nautical
1036,119506,American_Civil_War
1037,119506,Economic
1038,119506,Educational
1039,119506,Political
1040,27173,Economic
1041,27173,Medieval
1042,27173,Nautical
1043,27173,Territory_Building
1044,6472,Bluffing
1045,6472,Fantasy
1046,6472,Negotiation
1047,6472,Novel-based
1048,6472,Political
1049,6472,Wargame
1050,133848,Science_Fiction
1051,34119,Adventure
1052,34119,Arabian
1053,34119,Book
1054,34119,Exploration
1055,34119,Fantasy
1056,34119,Travel
1057,163968,Ancient
1058,163968,Card_Game
1059,163968,Mythology
1060,192153,Horror
1061,192153,Mythology
1062,128271,City_Building
1063,128271,Environmental
1064,128271,Science_Fiction
1065,128271,Territory_Building
1066,113924,Horror
1067,113924,Miniatures
1068,113924,Zombies
1069,478,Bluffing
1070,478,Card_Game
